series_id,title,season,units
JTS7200HIR,Hires: Accommodation and Food Services,Seasonally Adjusted,Rate
JTS7100HIR,"Hires: Arts, Entertainment and Recreation",Seasonally Adjusted,Rate
JTS2300HIR,Hires: Construction,Seasonally Adjusted,Rate
JTS6000HIR,Hires: Education and Health Services,Seasonally Adjusted,Rate
JTS9000HIR,Hires: Government,Seasonally Adjusted,Rate
JTS7000HIR,Hires: Leisure and Hospitality,Seasonally Adjusted,Rate
JTS3000HIR,Hires: Manufacturing,Seasonally Adjusted,Rate
JTS540099HIR,Hires: Professional and Business Services,Seasonally Adjusted,Rate
JTS4400HIR,Hires: Retail Trade,Seasonally Adjusted,Rate
JTS9200HIR,Hires: State and Local,Seasonally Adjusted,Rate
JTSHIR,Hires: Total Nonfarm,Seasonally Adjusted,Rate
JTS00MWHIR,Hires: Total Nonfarm in Midwest Census Region,Seasonally Adjusted,Rate
JTS00NEHIR,Hires: Total Nonfarm in Northeast Census Region,Seasonally Adjusted,Rate
JTS00SOHIR,Hires: Total Nonfarm in South Census Region,Seasonally Adjusted,Rate
JTS00WEHIR,Hires: Total Nonfarm in West Census Region,Seasonally Adjusted,Rate
JTS1000HIR,Hires: Total Private,Seasonally Adjusted,Rate
JTS4000HIR,"Hires: Trade, Transportation and Utilities",Seasonally Adjusted,Rate
JTS7200JOR,Job Openings: Accommodation and Food Services,Seasonally Adjusted,Rate
JTS7100JOR,"Job Openings: Arts, Entertainment and Recreation",Seasonally Adjusted,Rate
JTS2300JOR,Job Openings: Construction,Seasonally Adjusted,Rate
JTS6000JOR,Job Openings: Education and Health Services,Seasonally Adjusted,Rate
JTS9000JOR,Job Openings: Government,Seasonally Adjusted,Rate
JTS7000JOR,Job Openings: Leisure and Hospitality,Seasonally Adjusted,Rate
JTS3000JOR,Job Openings: Manufacturing,Seasonally Adjusted,Rate
JTS540099JOR,Job Openings: Professional and Business Services,Seasonally Adjusted,Rate
JTS4400JOR,Job Openings: Retail Trade,Seasonally Adjusted,Rate
JTS9200JOR,Job Openings: State and Local,Seasonally Adjusted,Rate
JTSJOR,Job Openings: Total Nonfarm,Seasonally Adjusted,Rate
JTS00MWJOR,Job Openings: Total Nonfarm  in Midwest Census Region,Seasonally Adjusted,Rate
JTS00NEJOR,Job Openings: Total Nonfarm in Northeast Census Region,Seasonally Adjusted,Rate
JTS00SOJOR,Job Openings: Total Nonfarm in South Census Region,Seasonally Adjusted,Rate
JTS00WEJOR,Job Openings: Total Nonfarm in West Census Region,Seasonally Adjusted,Rate
JTS1000JOR,Job Openings: Total Private,Seasonally Adjusted,Rate
