"series_id"	"title"	"season"	"units"
"DGORDER"	"Manufacturers' New Orders: Durable Goods"	"Seasonally Adjusted"	"Millions of Dollars"
"NEWORDER"	"Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft"	"Seasonally Adjusted"	"Millions of Dollars"
"AMTMIS"	"Ratio of Manufacturers' Total Inventories to Shipments for All Manufacturing Industries"	"Seasonally Adjusted"	"Ratio"
"AMTMUS"	"Ratio of Manufacturers' Total Inventories to Shipments for All Manufacturing Industries"	"Seasonally Adjusted"	"Ratio"
"AMDMIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries"	"Seasonally Adjusted"	"Ratio"
"A34SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries: Computers and Electronic Products"	"Seasonally Adjusted"	"Ratio"
"A35SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries: Electrical Equipment, Appliances, and Components"	"Seasonally Adjusted"	"Ratio"
"A32SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries: Fabricated Metal Products"	"Seasonally Adjusted"	"Ratio"
"A37SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries: Furniture and Related Products"	"Seasonally Adjusted"	"Ratio"
"A33SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries: Machinery"	"Seasonally Adjusted"	"Ratio"
"A39SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries: Miscellaneous Durable Goods"	"Seasonally Adjusted"	"Ratio"
"A27SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries: Nonmetallic Mineral Products"	"Seasonally Adjusted"	"Ratio"
"A31SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries: Primary Metals"	"Seasonally Adjusted"	"Ratio"
"A36SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries: Transportation Equipment"	"Seasonally Adjusted"	"Ratio"
"A21SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Durable Goods Industries: Wood Products"	"Seasonally Adjusted"	"Ratio"
"AMNMIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Nondurable Goods Industries"	"Seasonally Adjusted"	"Ratio"
"A15SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Nondurable Goods Industries: Apparel"	"Seasonally Adjusted"	"Ratio"
"A12SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Nondurable Goods Industries: Beverage and Tobacco Products"	"Seasonally Adjusted"	"Ratio"
"A25SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Nondurable Goods Industries: Chemical Products"	"Seasonally Adjusted"	"Ratio"
"A11SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Nondurable Goods Industries: Food Products"	"Seasonally Adjusted"	"Ratio"
"A16SIS"	"Ratio of Manufacturers' Total Inventories to Shipments for Nondurable Goods Industries: Leather and Allied Products"	"Seasonally Adjusted"	"Ratio"
