"series_id"	"title"	"season"	"units"
"IQAG"	"Export (End Use): Agricultural commodities"	"Not Seasonally Adjusted"	"Index 2000=100"
"IQ00"	"Export (End Use): Agricultural foods, feeds and beverages, excluding distilled beverages"	"Not Seasonally Adjusted"	"Index 2000=100"
"IQ10"	"Export (End Use): Agricultural industrial supplies and materials"	"Not Seasonally Adjusted"	"Index 2000=100"
"IQ212"	"Export (End Use): Agricultural machinery and equipment"	"Not Seasonally Adjusted"	"Index 2000=100"
"IQ212"	"Export (End Use): Agricultural machinery and equipment (DISCONTINUED SERIES)"	"Not Seasonally Adjusted"	"Index 2000=100"
"IQ10140"	"Export (End Use): Agricultural materials for farming"	"Not Seasonally Adjusted"	"Index December 2008=100"
"IQ10140"	"Export (End Use): Agricultural materials for farming (DISCONTINUED SERIES)"	"Not Seasonally Adjusted"	"Index December 2008=100"
"IQ"	"Export (End Use): All commodities"	"Not Seasonally Adjusted"	"Index 2000=100"
"IQEXCOM"	"Export (End Use): All commodities (excluding computers) and semiconductors"	"Not Seasonally Adjusted"	"Index December 2001=100"
"IQEXFDFLS"	"Export (End Use): All exports excluding food and fuels"	"Not Seasonally Adjusted"	"Index December 2010=100"
"IQ12200"	"Export (End Use): Aluminum and alumina"	"Not Seasonally Adjusted"	"Index 2000=100"
"IQ400"	"Export (End Use): Apparel, footwear, and household goods"	"Not Seasonally Adjusted"	"Index 2000=100"
"IQ30220"	"Export (End Use): Automotive tires and tubes"	"Not Seasonally Adjusted"	"Index December 2007=100"
"IQ30220"	"Export (End Use): Automotive tires and tubes"	"Not Seasonally Adjusted"	"Index December 2013=100"
"IQ30220"	"Export (End Use): Automotive tires and tubes (DISCONTINUED SERIES)"	"Not Seasonally Adjusted"	"Index December 2007=100"
"IQ3"	"Export (End Use): Automotive vehicles, parts and engines"	"Not Seasonally Adjusted"	"Index 2000=100"
"IQ00350"	"Export (End Use): Bakery and confectionery products"	"Not Seasonally Adjusted"	"Index December 2007=100"
"IQ00350"	"Export (End Use): Bakery and confectionery products (Discontinued)"	"Not Seasonally Adjusted"	"Index December 2007=100"
"IQ40110"	"Export (End Use): Books, magazines and other printed material"	"Not Seasonally Adjusted"	"Index 2000=100"
